Federal state,Community Name,Status,Population
Burgenland,Andau,Market town,"2,285"
Burgenland,Antau,Other municipality,758
Burgenland,Apetlon,Market town,"1,760"
Burgenland,Bad Sauerbrunn,Other municipality,"2,219"
Burgenland,Bad Tatzmannsdorf,Other municipality,"1,554"
Burgenland,Badersdorf,Other municipality,287
Burgenland,Baumgarten,Other municipality,894
Burgenland,Bernstein,Market town,"2,123"
Burgenland,Bildein,Other municipality,343
Burgenland,Bocksdorf,Other municipality,813
Burgenland,Breitenbrunn am Neusiedler See,Market town,"1,938"
Burgenland,Bruckneudorf,Other municipality,"3,026"
Burgenland,Burgauberg-Neudauberg,Other municipality,"1,360"
Burgenland,Deutsch Jahrndorf,Other municipality,611
Burgenland,Deutsch Kaltenbrunn,Market town,"1,721"
Burgenland,Deutsch Schützen-Eisenberg,Other municipality,"1,126"
Burgenland,Deutschkreutz,Market town,"3,088"
Burgenland,Donnerskirchen,Market town,"1,810"
Burgenland,Draßburg,Other municipality,"1,199"
Burgenland,Draßmarkt,Market town,"1,388"
Burgenland,Eberau,Market town,911
Burgenland,Edelstal,Other municipality,747
Burgenland,Eisenstadt,Statutory city,"14,476"
Burgenland,Eltendorf,Other municipality,954
Burgenland,Forchtenstein,Other municipality,"2,796"
Burgenland,Frankenau-Unterpullendorf,Other municipality,"1,109"
Burgenland,Frauenkirchen,Other city,"2,862"
Burgenland,Gattendorf,Other municipality,"1,332"
Burgenland,Gerersdorf-Sulz,Other municipality,"1,014"
Burgenland,Gols,Market town,"3,835"
Burgenland,Grafenschachen,Other municipality,"1,225"
Burgenland,Großhöflein,Market town,"2,048"
Burgenland,Großmürbisch,Other municipality,242
Burgenland,Großpetersdorf,Market town,"3,531"
Burgenland,Großwarasdorf,Other municipality,"1,381"
Burgenland,Güssing,Other city,"3,655"
Burgenland,Güttenbach,Market town,898
Burgenland,Hackerberg,Other municipality,357
Burgenland,Halbturn,Other municipality,"1,901"
Burgenland,Hannersdorf,Other municipality,758
Burgenland,Heiligenbrunn,Other municipality,759
